time,dist_1_2,dist_1_3,dist_1_4,dist_2_3,dist_2_4,dist_3_4
0.0,31.60059286713227,56.546162320180045,26.916432771438455,31.61177267409788,24.971534166051338,33.52063057101095
0.02,31.569009320152485,56.501719833890164,26.89778396800544,31.5899252769419,24.942622683313797,33.48896202208676
0.04,31.528288662679174,56.43574757810754,26.87014009623172,31.557455483610006,24.913289315362444,33.44625332731608
0.06,31.478741008069886,56.34896556996513,26.833816473055034,31.514702997693284,24.883542899879846,33.392864186980134
0.08,31.420759912144256,56.24225019978249,26.78919377266362,31.462087465369727,24.8534225151723,33.32924237191188
0.1,31.354782132711257,56.11659857507611,26.736695408188417,31.400101592325917,24.82296270888491,33.25590137879796
0.12,31.281261807556447,55.973106467668025,26.676784502972552,31.32930313508728,24.792180815598993,33.173405528460044
0.14,31.20070077609062,55.81294176602783,26.609975076728276,31.250281752414224,24.761108165325922,33.08233695138436
0.16,31.113639402618688,55.6373312390634,26.536801244987558,31.163650700936483,24.729798799212535,32.98332181407131
0.18,31.020624932645237,55.447528252061765,26.457797675866686,31.070036508998673,24.698293838049082,32.87700514679072
0.2,30.922245844945927,55.244835254911834,26.37349211821568,30.970079560690984,24.666623443237427,32.76406536639231
0.22,30.819057688919944,55.0305333527718,26.28442312593934,30.8644231412449,24.63482218595587,32.6451646836194
0.24,30.711636093070375,54.80588718292063,26.191121014009017,30.75368388222621,24.602943017444886,32.520961346957904
0.26,30.600525502604523,54.57214810403742,26.094106902383256,30.63848002755113,24.571024193864606,32.39211387648129
0.28,30.486265744182084,54.3305272993069,25.993890840264076,30.519393161158234,24.539095254871206,32.2592493907883
0.3,30.36936930236565,54.082190821922445,25.890950144054738,30.396998542969985,24.507209781052065,32.122995600719854
0.32,30.250301588452693,53.82825126612872,25.78576080511945,30.271850824045668,24.47537713074376,31.983916570869525
0.34,30.12952365054121,53.56977336052011,25.678769916989197,30.144476795085158,24.443620552873544,31.842557910483105
0.36,30.007458846084422,53.307750706674774,25.570398214176063,30.01537784202236,24.41197265425439,31.699430106950675
0.38,29.884513599517128,53.043154279892114,25.461048642335697,29.885016690944557,24.38045486150345,31.555054986402876
0.4,29.761064042915045,52.77684814049984,25.351065954250842,29.75381922265629,24.34909785173782,31.409894455304723
0.42,29.637442410577837,52.50962468255288,25.240773946777146,29.62219586239712,24.317939336894373,31.264366180101025
0.44,29.513956399988647,52.242231354453075,25.130491771051222,29.490505045411453,24.287007331995564,31.118868956759844
0.46,29.390883844608364,51.97534956733706,25.020499846537064,29.359097427306327,24.256324889559927,30.97375738786432
0.48,29.268465030181357,51.70959066394254,24.91103066383765,29.22828413734675,24.225891690692322,30.82935992198904
0.5,29.146932468897035,51.445507705796935,24.802314766478876,29.09831984224795,24.195715863394465,30.685965498656543
0.52,29.0264934292555,51.1836063019499,24.69454935293731,28.96944813221883,24.165811108915296,30.543849933665904
0.54,28.907326279322383,50.92432101354646,24.587925195296997,28.8418882875127,24.136206790745423,30.40323399528802
0.56,28.789592642911956,50.668037462129995,24.48259742062501,28.715840062474296,24.10691309252923,30.26430667647544
0.58,28.673416893162347,50.41508594133982,24.3786997140852,28.59147492216456,24.07793092343725,30.127232566213877
0.6,28.558938934279723,50.16574758713355,24.2763584696819,28.468905013827058,24.04927578496019,29.99214491488716
0.62,28.44626090273861,49.92027709623916,24.17568928439987,28.348243670428104,24.02095181721283,29.859166346636595
0.64,28.33544010925331,49.67886282032624,24.07676815925989,28.229575025277448,23.992950025811762,29.728399440645937
0.66,28.226536208654238,49.44164704029649,23.97965509618847,28.112972535740393,23.96527798938986,29.59990661442994
0.68,28.119593613591448,49.20874649637447,23.884385890926044,27.998505192935138,23.93793501523442,29.473741801978534
0.7000000000000001,28.01464118670671,48.98024451980176,23.790983669861376,27.88620397125761,23.910913516726502,29.349952950535734
0.72,27.91168759220612,48.7561769295689,23.699469044020955,27.77609625998055,23.88422925328833,29.228552523709023
0.74,27.810733992185877,48.53655527819766,23.609842661961117,27.66817786080759,23.857868746172777,29.109540366086648
0.76,27.711778233439468,48.321365834552566,23.52210724147394,27.562427580512598,23.831845420402313,28.992910207623037
0.78,27.614793387712936,48.11059191682989,23.436242826023147,27.458845381558763,23.80612666006939,28.878642615687433
0.8,27.519748878998602,47.90418805715611,23.352222298388213,27.35740474002633,23.78070789372995,28.766723306770686
0.8200000000000001,27.426636569195455,47.70208698828895,23.270034590300856,27.25804812114143,23.75560572438776,28.65710915438762
0.84,27.335429315073572,47.504209638893165,23.189637853201063,27.160716563655676,23.730799898542966,28.549756136270783
0.86,27.24609502033921,47.31048125818049,23.110995496308547,27.065376470795172,23.706285925713765,28.444620232960215
0.88,27.15856653741064,47.1208022418644,23.034074228547325,26.97199259135502,23.682048374427975,28.341637828571784
0.9,27.072791207494078,46.93504673788333,22.95881289039647,26.880498847828537,23.658061761921353,28.240732945610546
0.92,26.988726723917022,46.75309057268973,22.885118061997947,26.79083040945046,23.63431231160987,28.141862122697216
0.9400000000000001,26.906302497034588,46.57481660573251,22.812946664671475,26.702945053563194,23.6108114432919,28.04497342533305
0.96,26.82546091057842,46.40010312287148,22.742255811967265,26.616795556516458,23.587577973434435,27.95000672135119
0.98,26.746110151679524,46.22881534319702,22.67297354911892,26.53235698261696,23.564598834750168,27.856896565967165
1.0,26.668208405910143,46.060813744267094,22.60503974367183,26.449562409090333,23.54186954579612,27.76555485273458
1.02,26.59171865189016,45.895989862072206,22.53841891806002,26.368334819745847,23.519369824266764,27.675910341971296
