time,uav1_2_fused_error,uav1_3_fused_error,uav1_4_fused_error,uav2_3_fused_error,uav2_4_fused_error,uav3_4_fused_error
0.0,0.015168527535801881,0.0238270166574137,0.012143793128184607,0.010523167838337703,0.0022593398554167903,0.012052081926407141
0.02,0.03723360304902925,0.06544718800114308,0.03114933637334823,0.03065368078703379,0.0052292091545642775,0.034599813315698856
0.04,0.06573329933078602,0.12210091254296405,0.05774821884813536,0.059152661820206925,0.009017194656214771,0.06668924439390543
0.06,0.10058312092741505,0.19170826341714456,0.08935558500768681,0.09386766108080197,0.013156032479728765,0.10598212536966035
0.08,0.14018725872583998,0.2714753318678339,0.12509587373059805,0.13376456616678672,0.017572273154167914,0.15121122724810374
0.1,0.18354833566788112,0.35875580017703546,0.164114029947468,0.17757010546546276,0.021915100877148548,0.20165922156647192
0.12,0.22871540122385298,0.4515857436732725,0.205938557235984,0.2240211629828711,0.027145770406284624,0.2555570605735888
0.14,0.2759188828688507,0.5480419922226066,0.24938759886138281,0.2714998676936436,0.03280856391824104,0.3109817610260592
0.16,0.3235746075830714,0.6461886241363007,0.2931221383453465,0.31967330158907853,0.03887161906282939,0.3672492144957336
0.18,0.3715446656462273,0.7445783234206849,0.3365453301447393,0.36795871721672907,0.04490065433330667,0.4241340564874614
0.2,0.41880112579054035,0.8415466510444395,0.3790888663929476,0.41598299103230324,0.05180052102599927,0.48168067212617827
0.22,0.4632427825918581,0.9352427107943198,0.41892524508599743,0.46319963289676375,0.05801261898320882,0.5356286203339531
0.24,0.5066943967540005,1.0256841309149642,0.4572181157391659,0.5096225576175887,0.06372269665191657,0.587237120409018
0.26,0.5477475595474643,1.1110498970462486,0.4920938127769243,0.5550426320370678,0.0678009714139436,0.636765384675856
0.28,0.5838867430061342,1.1888601647038866,0.5232639863609254,0.598157121796749,0.07177394158200329,0.6837885741641176
0.3,0.612893320097677,1.2575389243640542,0.5479426951504605,0.6388037038716148,0.07496805581552117,0.7260487782239483
0.32,0.638299634532069,1.3192233064914702,0.5693530496794634,0.6756960090893974,0.07843244243944575,0.764341660452436
0.34,0.6600746645286316,1.374167352922136,0.5884025011977605,0.7087182638306638,0.0812908957456192,0.7976836114287127
0.36,0.677199715386924,1.421375123589172,0.6040653613575852,0.7382513118571371,0.08333320291502419,0.8257966709763889
0.38,0.6922509808410185,1.4632647540472346,0.6182368955802785,0.7643477302435365,0.08436345487046043,0.8490627457794219
0.4,0.7053525472139932,1.4990019814706073,0.630710803868081,0.7862205648020711,0.08538732081860038,0.866003343529664
0.42,0.7178717341035292,1.5293475900858056,0.6417491091067477,0.8027924266136176,0.08680644714693969,0.8799464181231172
0.44,0.7313340279364622,1.5567651657943629,0.6539646567778744,0.8157031263694446,0.0877677810157917,0.8908218071043646
0.46,0.744504511843981,1.5802037700203597,0.6663963320057291,0.8255214914535449,0.08918750637365812,0.8982902177298526
0.48,0.7582913549945751,1.6002778281166052,0.6790548991441863,0.8325767603739265,0.08926560716435149,0.8996566194047843
0.5,0.7730796833808068,1.6181549132235815,0.6926832300154193,0.8368308413105294,0.08888076792525405,0.8953097757327266
0.52,0.7884232773654507,1.6320582479304364,0.7064813633260957,0.8395206849004923,0.08650725416040966,0.8921103156851424
0.54,0.7988086431207699,1.6393025382044433,0.7151072867226295,0.84051655269929,0.0841251752913132,0.8883821953771905
0.56,0.8062817171339908,1.6411559111002818,0.7208273432800764,0.8399873917703424,0.08184297771424066,0.8831403196589325
0.58,0.8074430774165655,1.6353674664716038,0.7199751419030502,0.8381389845074406,0.07878733092667276,0.8765957092808343
0.6,0.8044326992256137,1.6248181170021923,0.7154366701100464,0.8334773297767057,0.07642694480114824,0.8700781114061606
