time,uav1_2_fused_error,uav1_3_fused_error,uav1_4_fused_error,uav1_5_fused_error,uav2_3_fused_error,uav2_4_fused_error,uav2_5_fused_error,uav3_4_fused_error,uav3_5_fused_error,uav4_5_fused_error
0.0,0.014297707028568174,0.02435467788183182,0.011960455318966574,0.015040873636949226,0.01080434750255319,0.0018597356213237892,0.004098312554833697,0.01307357050434113,0.008580346251812393,0.0030343835596441885
0.02,0.03906906942790867,0.07055284209911784,0.034204510861688284,0.043366354699031696,0.03208306403272327,0.005338476800436247,0.00788702535673029,0.03791690424392018,0.027093915561471775,0.009459376902771084
0.04,0.07242938388702361,0.13436805160454995,0.06491162996349156,0.08226902293243625,0.06254370691969849,0.00992065742018116,0.012666916946070203,0.07264819052950011,0.05360605025846135,0.018562693569656973
0.06,0.11239872033601755,0.21290519640920147,0.10174114334762917,0.12916459233079652,0.0999910610261453,0.015602752640608125,0.01803816239671227,0.11523130299909673,0.08639284765293859,0.029736178309947646
0.08,0.1582058124346871,0.3020698845023768,0.14306957794936806,0.18217414122056763,0.1420786951723547,0.022649842987963836,0.024188755988460937,0.16413882563376586,0.12429118884446846,0.04149591222425848
0.1,0.20815789334230028,0.3986754249821759,0.18737491034240494,0.23945437001344705,0.18820459132851503,0.030408626780188124,0.030780228578158878,0.2173723171280656,0.1658858952182334,0.05371466133559108
0.12,0.2601779026903844,0.49996565557740175,0.23383612959586608,0.2991756444646882,0.23688634308842052,0.03841548555635965,0.03799346716915985,0.2746733220934442,0.21048258673783277,0.06620873993654512
0.14,0.31280624563902215,0.6035486649702176,0.28168724548906376,0.35998985472825124,0.2865636532295187,0.046629840283963844,0.04491525919474622,0.3338851095549981,0.25628725989054574,0.07856668999762374
0.16,0.3645400965241563,0.7069960571528443,0.3281900548630924,0.41988371777722866,0.33653791646715064,0.05506877987798301,0.051382254178789465,0.39387915253461026,0.3036300992438334,0.09065382495277656
0.18,0.4150523555213109,0.8094673018752397,0.3733037566348009,0.47865111368394236,0.38598472334177436,0.06347055726264562,0.05732215573446052,0.45494541018546675,0.35220299012114703,0.10219281947585865
0.2,0.4656521295429231,0.9110287306506349,0.4191538512838629,0.5368912568775305,0.4333513163932477,0.07275200073043737,0.062218923724495806,0.5157912426291102,0.40072070591676884,0.11240565106831894
0.22,0.5146055363797898,1.0092115471489178,0.4634721851799605,0.593293909026987,0.47834774125973695,0.08300766067497738,0.06556923615912733,0.5747751581634061,0.4491324231619913,0.1218567461441364
0.24,0.5617268017230873,1.1030678263604012,0.5065710092076723,0.6469689587698856,0.5208451781101607,0.0933597170177856,0.06786567530642783,0.6292525055053659,0.49347639134863425,0.13005762233189064
0.26,0.605273951468533,1.1896015346516493,0.545666806541103,0.6953921918257896,0.5603326259454091,0.10310125356951674,0.06880883373619542,0.6776466034166487,0.533038561273113,0.13780987809604803
0.28,0.6424331848825376,1.266968224454977,0.5793518028037602,0.7375149155316657,0.5964342483325067,0.1122840022784282,0.06979247180567773,0.7207460113662674,0.567916399185904,0.145083778656922
0.3,0.674551884932348,1.334050623002045,0.6066350955025928,0.7735377258505574,0.6289347440249767,0.1203532150072003,0.07155524194414614,0.7591778729422505,0.5992006569440459,0.15065939881661658
0.32,0.7025871491038194,1.3929403084394536,0.630908233167122,0.8052235275270504,0.6570911001457604,0.12797952472188426,0.07243086978610822,0.7943839537133368,0.6278031864668115,0.15495471068300376
0.34,0.7271484525397381,1.4444798739625355,0.651939150053721,0.8325977380304136,0.6813853553461267,0.13517874391676302,0.07343117619524653,0.8245232529329569,0.6526117383698932,0.1588731572741084
0.36,0.748871268729968,1.4891993336860896,0.6708287221437682,0.8565386847677265,0.703109735758498,0.13993551077581856,0.07545790259941267,0.8495544064461733,0.6732974605555818,0.1629074709606538
0.38,0.7673228183998303,1.5265345156044525,0.6868381947972552,0.8768124339567575,0.7223994759713194,0.14282392439046324,0.07828711619104908,0.8709011733921559,0.6914127977465834,0.16747794605228392
0.4,0.7843584966195366,1.5593017209900446,0.7022880877538159,0.8947180654450952,0.737562726504928,0.14536260806483955,0.07984966405264307,0.8878327120018167,0.7058248028334047,0.17227716074789393
0.42,0.7978349064816109,1.5841945428819941,0.7144675590793901,0.9083707516973433,0.7498638945600107,0.14683748786223066,0.08184231829348618,0.8960227724262505,0.7130801354933319,0.1771776956216076
0.44,0.8031637873962032,1.5969875263496975,0.718258776325182,0.913707737895095,0.7586968381610819,0.1472975620880781,0.08314055046870654,0.8980999144819231,0.7146663004880159,0.1823752829195151
0.46,0.8046584343818526,1.6017358634898409,0.7180371308449336,0.9144293253288239,0.763592395596988,0.1466426136223188,0.08486782769769241,0.8994220894672436,0.715436318813308,0.18532594435693028
0.48,0.803322343495501,1.6005729128725197,0.7153152458079944,0.9116342155672436,0.7639188651579232,0.14712827936424844,0.08578862093748796,0.8992986139828412,0.7156162500522599,0.18730615970988654
0.5,0.7998907417353449,1.594384153315242,0.7106177202583975,0.9062491514081622,0.7604757385605703,0.14826445087852114,0.08550028116763991,0.897362965879211,0.7150222804546246,0.18705925805453585
0.52,0.7932043815831678,1.5826786134061768,0.7028445799932427,0.8973119737785039,0.7549411765918165,0.149287744463066,0.08543347638599133,0.8923575347321586,0.7117667259301712,0.18475209634334958
0.54,0.7838050719502629,1.5662915594244138,0.6928642273474601,0.8857565805043401,0.7476004669013885,0.14892687869203525,0.08558067893230761,0.883332145289322,0.7053266402819874,0.18186991344079387
0.56,0.7748455343487008,1.5470864742834025,0.6840899739126874,0.874489839627208,0.7389307357272511,0.1473916381812191,0.08600970319234534,0.8708907881648835,0.6962032428373447,0.17968389999197645
0.58,0.7615447314537538,1.5213733269250247,0.6713032167938572,0.8588610040212171,0.7298162634148021,0.14354104545817964,0.08767746867056975,0.8572830618146297,0.6856559007295716,0.17805788285082239
0.6,0.7454610072261411,1.4915093243133057,0.6561578451660521,0.8408404838618166,0.7187062853078486,0.1395356178732381,0.08941918043505288,0.8427679553780718,0.6733805881467718,0.1752666889659088
0.62,0.7277758145565332,1.4592963421599499,0.6397875104946387,0.821739898883489,0.7053642769773462,0.1364509439874267,0.08979417957163864,0.8286875559852673,0.662150934915674,0.17220714595460782
0.64,0.7071755366228991,1.424273176099699,0.6208924148957539,0.8000742023483293,0.6926523047580048,0.13174452383464524,0.09239712602725782,0.8133101186733445,0.6504168769204369,0.16924251889289085
0.66,0.689517516930647,1.3918198033212419,0.6050622232517292,0.781543606705027,0.6783634413433253,0.1273669876731721,0.0942809889898219,0.797779427086457,0.6380029004587096,0.1662176078267004
0.68,0.6747066907021585,1.3612612181162516,0.5921636723750006,0.7660332242844492,0.6642802349575301,0.12264280492133454,0.09600834561383662,0.7826540603806598,0.6256103349340922,0.16265673262354316
0.7000000000000001,0.6580921266508315,1.3290527762349735,0.577649756934729,0.7488733144372055,0.6499454704050333,0.11740084566089007,0.09771601627907774,0.7674654269132516,0.61346998816598,0.1598973809431093
0.72,0.6420940479583606,1.2984700889328429,0.563985601501076,0.7326928072336617,0.6347407530908988,0.11333654664391285,0.09831888026448161,0.7515319343896687,0.6005302227386475,0.15701214657784188
0.74,0.628733072251259,1.2699365425981706,0.552950282105766,0.7191600238535273,0.6196525047077323,0.11013035997859527,0.09894549268134897,0.7343549801253089,0.5859909583219773,0.15451327158363468
0.76,0.6168719096641554,1.242967296471198,0.543155549402728,0.7073463877285026,0.6047414262966035,0.10639237132983392,0.10028301335118538,0.7166715124977295,0.572039770183125,0.1537478993807321
