time,uav1_2_fused_error,uav1_3_fused_error,uav1_4_fused_error,uav2_3_fused_error,uav2_4_fused_error,uav3_4_fused_error
0.0,0.01101342331339187,0.01850374753894183,0.009416882535402068,0.009044660696730185,0.0015820054291913023,0.01310324352705632
0.02,0.03052157165932745,0.05702890362274957,0.026777268022842176,0.02934507951189376,0.0004898687045263338,0.036838864549763525
0.04,0.05689180724093497,0.11169101161457357,0.050328430632573536,0.05750032005166891,0.0029680539935522704,0.07004026063987183
0.06,0.0885573148569556,0.17840186361674085,0.0787820632788231,0.09272111491891227,0.0072630709227557945,0.11030722426966397
0.08,0.12399082769898198,0.25446795173703246,0.11021802940631836,0.13331742674422792,0.011906665098593339,0.15625429723285253
0.1,0.16162168915919897,0.33707786918841504,0.14380910915565207,0.17711593675217896,0.017163030624553707,0.20646807520547916
0.12,0.20061503330375777,0.4239738955199842,0.17823053820013282,0.223663250950648,0.023539561162027656,0.2597269605856407
0.14,0.24063109637722654,0.5132414067348173,0.21375276825704204,0.2711757858983415,0.030669159789586967,0.31501134211145104
0.16,0.2803369939828953,0.603486821484776,0.2493533471584127,0.31883081766562843,0.038423219025811015,0.3709692240370211
0.18,0.31971854073763456,0.6939426791343309,0.2848600818950619,0.3663377705790973,0.04653171824175872,0.42710042558881617
0.2,0.3586555117292198,0.7825901802098405,0.31920759154703277,0.41297278127455855,0.054237740408604955,0.48422370420050487
0.22,0.3958233982983408,0.8682485541308879,0.35212460075663543,0.4587416455999246,0.0620626126762439,0.5386116837908199
0.24,0.43091379497753995,0.9502210537404704,0.3831181119169966,0.5032227734987058,0.06864958041280948,0.5901320992614825
0.26,0.46476813789160454,1.0288835448035856,0.41274342952703663,0.545725054757615,0.07424979628938189,0.6410716819168227
0.28,0.4975814230393357,1.1037927457700165,0.4418727180357111,0.5852113274038864,0.08048401755414089,0.688954463462217
0.3,0.5263243207885906,1.171840922078144,0.46653002370208496,0.6213781632457677,0.08808002701852685,0.7343711564491276
0.32,0.5512405651711911,1.2328737243672314,0.48675178369228833,0.6539373188089429,0.09615201557910995,0.7769618973630559
0.34,0.5743280180033614,1.2890826534624893,0.5052701143919347,0.6818200804329706,0.10587560167756,0.8146820869764347
0.36,0.5974050826625054,1.3411736023963623,0.5239167175078498,0.7060955504701734,0.11558497214210052,0.8462306893273507
0.38,0.6204623065990562,1.3890532343529436,0.5424261656465131,0.7274449607565119,0.12292638361557755,0.8715618667435802
0.4,0.6417100790646196,1.4307304050912393,0.5588572056430744,0.7463025230923268,0.12860757162242273,0.8898994341846953
