time,uav1_true_pos_x,uav2_true_pos_x,uav3_true_pos_x,uav4_true_pos_x,uav1_true_pos_y,uav2_true_pos_y,uav3_true_pos_y,uav4_true_pos_y
0.0,-20.0,10.0,20.0,-10.0,-20.0,-10.0,20.0,5.0
0.02,-19.99305769276577,9.979737037647782,19.972696437990287,-9.999354677882314,-19.991944367237377,-9.979724946178603,20.01102666725102,5.0006677049240755
0.04,-19.97928394776825,9.95922873137293,19.938225512496565,-9.99806378605696,-19.975961438989597,-9.959202132526844,20.013218730712197,5.0019971511395855
0.06,-19.958884619291872,9.9385071098145,19.896800675681945,-9.99612953031543,-19.952272037725553,-9.938445509167295,20.00682672826451,5.003986851032723
0.08,-19.932127016366177,9.917592930292694,19.848701649218206,-9.99360551742686,-19.921174050774948,-9.917463148771056,19.992209677505677,5.00662660184386
0.1,-19.899362951293885,9.896472491414787,19.79426983209356,-9.99052337368639,-19.883019540439406,-9.896261946310087,19.969775480832464,5.009891481015535
0.12,-19.860987625996597,9.875140379710409,19.73388381657461,-9.986922872640106,-19.838217731565543,-9.874860541230877,19.939991811933933,5.013750592288287
0.14,-19.817381471535867,9.853604271481812,19.667927667588966,-9.98285465602468,-19.787203056103664,-9.853275781667799,19.903354455283825,5.018175974172898
0.16,-19.768960933415848,9.831889805399353,19.59684207992583,-9.97837849302001,-19.73043483644775,-9.831534162711568,19.860369254752474,5.023117526688959
0.18,-19.716156238685233,9.81001043409854,19.521086423373347,-9.973540758843598,-19.668393435512236,-9.809648359540267,19.811552069280065,5.028532393015982
0.2,-19.659372389249544,9.787978821990725,19.441093997779856,-9.96839414424965,-19.60157809556911,-9.787652404892356,19.757458444653018,5.034376691602116
0.22,-19.599013182808026,9.765829313603422,19.3573323685234,-9.962957373784098,-19.530466184645363,-9.765566347816685,19.698596950056793,5.040623806199536
0.24,-19.53548041139106,9.74358016803459,19.27024226588731,-9.957277572346193,-19.45553811694343,-9.743393312749403,19.6354950414598,5.0472344002584
0.26,-19.46916089279088,9.721241225805947,19.18026447175688,-9.951410139835076,-19.377257828247068,-9.721178801406776,19.568648935383255,5.054164099654811
0.28,-19.400418529823607,9.698840386711916,19.087805215600067,-9.94540366395497,-19.296073623826246,-9.698950978882133,19.49854620294619,5.061377059051974
0.3,-19.329601551464464,9.676395499410722,18.99324643357399,-9.939305370892432,-19.21240112843481,-9.676737296998864,19.42562757711093,5.068850541268952
0.32,-19.257063848563405,9.653910809843504,18.896958832131446,-9.933137694329039,-19.126612058909497,-9.654549116387598,19.350300674474806,5.076579938879357
0.34,-19.18312578919573,9.631404795812337,18.799274114168302,-9.926920427291604,-19.039056843322275,-9.632368269949977,19.272961686089968,5.084534214262739
0.36,-19.108096847195714,9.6088840399158,18.700481991342514,-9.920673937415925,-18.95007107759761,-9.610204123896985,19.193998029205613,5.092690364967477
0.38,-19.032241285396903,9.586380440582976,18.600873682149835,-9.914430054841587,-18.85995377861688,-9.588087801697299,19.113754934149185,5.101020664007251
0.4,-18.955831156043555,9.563892388559019,18.500706001401984,-9.908200910132601,-18.76898887719272,-9.566027417558672,19.03256414303842,5.109485003524456
0.42,-18.879112938646806,9.54143293442459,18.400233208372544,-9.901993835688751,-18.677441858471184,-9.544014613522013,18.950717543037616,5.118062280963716
0.44,-18.802297590039345,9.518991222517753,18.299663580270465,-9.895827365544816,-18.585558025195674,-9.522058689728295,18.868486764656257,5.126741894899201
0.46,-18.725569395032515,9.496588429249465,18.19919991809376,-9.889726270365067,-18.493564879064625,-9.500164260692388,18.786119636457872,5.1355163039275515
0.48,-18.64910106838007,9.474228250806538,18.09901952801952,-9.883694858743976,-18.40165983522173,-9.478324302571579,18.70381244644801,5.1443673724897305
0.5,-18.573058181434718,9.451922850948094,17.999263986655865,-9.877769600820915,-18.31000498826678,-9.45653916709879,18.621751053287422,5.153293208145326
0.52,-18.497574858089333,9.429664573898702,17.900076005289815,-9.871961793858787,-18.21875249148343,-9.434817449771925,18.540111788452833,5.162308031399353
0.54,-18.42277918099864,9.40745926814351,17.801564264194955,-9.866288791524727,-18.128034476734687,-9.413166245401943,18.45903725332661,5.171387312810751
0.56,-18.348785016348216,9.3853176085678,17.70383763352987,-9.860750329278325,-18.037966032766793,-9.39160853904866,18.37867325146521,5.180527339322803
0.58,-18.275667036137104,9.36326372530698,17.60697975785271,-9.855342502639772,-17.94864889713856,-9.370162466777927,18.299122026198006,5.189709862650996
0.6,-18.203493693878897,9.34130285396725,17.511064634783963,-9.850086836015395,-17.860161151965094,-9.348839382242193,18.22046056053586,5.198930201311335
0.62,-18.13232292915894,9.319447212556632,17.416165538552004,-9.844993847800161,-17.772567411595144,-9.32764184018476,18.14276117108653,5.208188204991142
0.64,-18.0622047841209,9.297674702009164,17.322348900779197,-9.840081862699442,-17.685927113313326,-9.306547842966854,18.06607188211772,5.217444101497539
0.66,-17.993169525814505,9.275972524849363,17.229646542203216,-9.835374080788986,-17.60029704194581,-9.285554563421654,17.99044547728291,5.2267100411578555
0.68,-17.925259436746277,9.254360499335792,17.138094030227688,-9.830883261714856,-17.5157124142992,-9.264645843445809,17.915944479651152,5.235986251613818
0.7000000000000001,-17.858499870895404,9.23283280847188,17.047708549923268,-9.826595889690287,-17.432193510393052,-9.243809246677083,17.84262937987605,5.245263317917846
0.72,-17.792892482327257,9.211403362253785,16.95848647689928,-9.822515196116935,-17.349773330961938,-9.223046794047058,17.77053122290601,5.2545364857030625
