time,uav1_true_pos_x,uav2_true_pos_x,uav3_true_pos_x,uav1_true_pos_y,uav2_true_pos_y,uav3_true_pos_y
0.0,-40.0,10.0,40.0,-40.0,-10.0,40.0
0.02,-40.01266909527015,9.999190116749714,39.99342279979464,-39.974611008070376,-9.999232503703478,39.993809774131094
0.04,-40.018426997331126,9.99765150962955,39.98064894503014,-39.94421446579142,-9.997790121499644,39.98181878242352
0.06,-40.0176930090711,9.995424718709657,39.962161983068405,-39.909185222792736,-9.995748854793932,39.96443204476403
0.08,-40.01087211647403,9.992575828841243,39.93817091526554,-39.86967626825561,-9.993038112539617,39.94198256510678
0.1,-39.998365786304745,9.989145379688669,39.908979465226835,-39.825985742785974,-9.98974884318171,39.914799182003215
0.12,-39.98051797032547,9.985183174201921,39.87505354517661,-39.77836632223695,-9.985863225632889,39.88318667119077
0.14,-39.9577030246236,9.980648613731217,39.83659713836408,-39.72708511348092,-9.981478026874743,39.8473126584611
0.16,-39.930174890001,9.975531643886306,39.7939402990831,-39.67238290798507,-9.976590832260474,39.80759427366918
0.18,-39.898213709568104,9.969959782653929,39.74738983915107,-39.61455450518932,-9.971237248956893,39.76421851630761
0.2,-39.86210547329148,9.963955411156048,39.69712133983128,-39.553798624473465,-9.965438177979077,39.7174107796563
0.22,-39.82214910239717,9.957611003523649,39.643438441412016,-39.490289514634014,-9.959301603347608,39.66740666683619
0.24,-39.778538949705045,9.950868268625417,39.58657167623419,-39.4242726408696,-9.952837164337176,39.61431536696913
0.26,-39.73153395777419,9.943794290537776,39.52674435401614,-39.355832679725275,-9.946003937730337,39.558491133005006
0.28,-39.68154240679246,9.936357375636367,39.4641138640334,-39.285261151594796,-9.938888133364767,39.50013915273357
0.3,-39.62861565119807,9.928623390657451,39.39891143663252,-39.2125947899645,-9.931453695451122,39.439415068149465
0.32,-39.573022242631275,9.92050883832444,39.33131044367222,-39.138025782818204,-9.923739900431718,39.37646443020603
0.34,-39.51492362480076,9.91210611954461,39.261430421588905,-39.061739707710004,-9.91578701321279,39.311466639915366
0.36,-39.454461502591386,9.903465440786361,39.18947740521242,-38.98383296960148,-9.907465426904457,39.24461100290752
0.38,-39.39193996044152,9.894614448148303,39.11558615371769,-38.90441450292939,-9.898836049877495,39.1759938925844
0.4,-39.32745391016706,9.885525468715663,39.03999055979591,-38.823600447447355,-9.889997254165307,39.10573398269603
0.42,-39.26110878327907,9.876181475737555,38.96282039133485,-38.741587461045846,-9.880957801075528,39.0340636651224
0.44,-39.1930065092394,9.866764631672043,38.8841571183903,-38.658435365438834,-9.871812635152738,38.9610126765922
0.46,-39.12333186101678,9.857264864406593,38.80405901204411,-38.57424557097754,-9.862404115079018,38.88673917900348
0.48,-39.052207156047054,9.847625914518888,38.722725772239436,-38.48919766958274,-9.852833794948909,38.81135242373707
0.5,-38.97980955523395,9.83784250512392,38.64026576758293,-38.40323891816262,-9.843114984831278,38.73492855491503
0.52,-38.90622980771137,9.827859268726442,38.55683088462548,-38.316540592470986,-9.833247574485007,38.65761788011992
0.54,-38.831541656017905,9.817742060948277,38.472427260449486,-38.22922000972901,-9.823262273876065,38.579499810256785
0.56,-38.75587730846595,9.80757225557769,38.38714780107562,-38.141313014042105,-9.813105264556707,38.50066574112177
0.58,-38.67925123156959,9.797198949109221,38.30120824040153,-38.05283506794344,-9.802878020586114,38.42116850101259
0.6,-38.601807553139416,9.786769128256037,38.214617787946025,-37.96386954025009,-9.792536232960218,38.341079747913255
0.62,-38.52369184869177,9.776250043472599,38.127474392271495,-37.874508667272096,-9.782102809042447,38.260522208524286
0.64,-38.44498604802246,9.765715283801384,38.03975011179413,-37.78475770735679,-9.771512105261825,38.17949959909016
0.66,-38.36565608704675,9.755119350664886,37.95156299515347,-37.69478965159012,-9.760749619239045,38.09809437934126
0.68,-38.285858625078774,9.744465339422776,37.862955645310535,-37.6046128636858,-9.749873667500431,38.01634358718288
0.7000000000000001,-38.205614516147335,9.7338406420734,37.77398669617574,-37.514145098897075,-9.738914523903656,37.93431445099692
0.72,-38.125022573467724,9.723247770853256,37.68470977572206,-37.42358144124618,-9.727915117422734,37.85208497996241
0.74,-38.04412753864287,9.712652437062493,37.59518717153154,-37.33290266187269,-9.716896142468379,37.769670261496614
0.76,-37.962944653820934,9.701966199488687,37.50546096096864,-37.24213998196419,-9.705786492724375,37.68713925976181
0.78,-37.881511799446784,9.691315177503732,37.415560175636934,-37.151306802017636,-9.694707889894866,37.60451016100483
0.8,-37.799933436587395,9.680623800830439,37.32559382679321,-37.0604299305623,-9.68353236871527,37.52190529508108
0.8200000000000001,-37.7182494075129,9.669850812155955,37.235576282604995,-36.96964257176424,-9.672294784636108,37.439354099808185
0.84,-37.63653500625735,9.659173855769858,37.1455463749938,-36.87899161727682,-9.661039584955603,37.356833718732766
0.86,-37.55480845518572,9.648445924609863,37.05557244196223,-36.78846713241984,-9.649780514113385,37.27447550109113
0.88,-37.47307389180704,9.637635332461045,36.96562158088895,-36.69806033078321,-9.638445503456474,37.19220463053609
0.9,-37.39143479127965,9.626748556717276,36.87574465774459,-36.6078500536658,-9.627008333116443,37.1100867050901
0.92,-37.309899143109675,9.615819806919163,36.78593793214294,-36.51778720119527,-9.615597397354378,37.02817962117308
0.9400000000000001,-37.22845365686141,9.604833119491378,36.69629460032263,-36.42789127595931,-9.60417491806441,36.94657469048769
0.96,-37.14719723676446,9.593776136993268,36.606783142608165,-36.33820872519817,-9.5926264404621,36.865202132776744
