time,uav1_true_pos_x,uav2_true_pos_x,uav3_true_pos_x,uav4_true_pos_x,uav5_true_pos_x,uav1_true_pos_y,uav2_true_pos_y,uav3_true_pos_y,uav4_true_pos_y,uav5_true_pos_y
0.0,-15.0,-5.0,30.0,45.0,10.0,-20.0,5.0,10.0,-25.0,-40.0
0.02,-14.983335474583898,-5.025833119477145,29.989681123456183,44.977696235907665,10.001611142041396,-19.9963503983719,5.027549111835746,9.98766900131446,-24.99227113527095,-39.986633869686294
0.04,-14.95026095971138,-5.037710710146424,29.96920630533789,44.933400155276196,10.004823557730798,-19.989099984207456,5.042801534862031,9.963202423450705,-24.97692794951659,-39.96009862020372
0.06,-14.901241383156105,-5.035997403506353,29.938885745912902,44.86773145744858,10.009608938558278,-19.978366716399954,5.046074119083454,9.926963718109503,-24.95418851965576,-39.920768443108614
0.08,-14.836931998587772,-5.021220044189426,29.899113051898173,44.78156158127855,10.015907163904059,-19.964305978367594,5.037811914546618,9.879436510963998,-24.924336946524523,-39.86915173077409
0.1,-14.758134024279235,-4.994024469505081,29.850364525163048,44.675951759516664,10.023619787016782,-19.947080776668372,5.018598935324244,9.821223285848236,-24.88771747931321,-39.805889459895816
0.12,-14.665787053065628,-4.95515985158935,29.793208165156955,44.5521397993563,10.032647286864576,-19.926892198839127,4.9890871759881765,9.752999468293977,-24.844738432182456,-39.73170421069176
0.14,-14.560896971121434,-4.905462606364233,29.728264005019366,44.41147486936768,10.042883302904974,-19.903929560180384,4.950020264106554,9.675530352029087,-24.79586029521171,-39.64739958813624
0.16,-14.444558151977665,-4.845821482721897,29.656196757330367,44.255386986074534,10.054207147846816,-19.878431301793928,4.902166469917645,9.589618150105954,-24.741570609392124,-39.55382147064032
0.18,-14.317924447362916,-4.777164779652771,29.57769881355649,44.08538664990958,10.066481152304382,-19.85063549345891,4.846344139847878,9.496107926733645,-24.682398107163127,-39.45186325072224
0.2,-14.182154104620336,-4.700452460872695,29.49346220541418,43.90301969322721,10.079591969276713,-19.82079205093199,4.783362743219802,9.395845244256263,-24.618851516535045,-39.342422119060444
0.22,-14.038408488594609,-4.616641614284691,29.404187900433143,43.70983354901409,10.093418090768456,-19.789134597159258,4.714047384585282,9.28967799546814,-24.551482359651533,-39.22640773863679
0.24,-13.88785303035471,-4.526676775266828,29.31058276208667,43.507360589512295,10.107828455302839,-19.75591111238774,4.639220382772616,9.17845020770712,-24.48082525959796,-39.10472088528199
0.26,-13.731598072055508,-4.4314771395446275,29.213320851573513,43.297100458047105,10.122711397580543,-19.721352580802307,4.559687634441602,9.063000300793131,-24.407379213717252,-38.978250883334155
0.28,-13.570758841564254,-4.331941010638691,29.11305595115278,43.08051463878289,10.13794996100243,-19.685685334340697,4.476224007856222,8.944122593357408,-24.331650151427628,-38.847846413230414
0.3,-13.406389831271689,-4.22893952160164,29.0104015856298,42.85898391233745,10.153428542031289,-19.649116921713446,4.389585501406253,8.822570894173364,-24.25411121657415,-38.714316084876515
0.32,-13.239512419793204,-4.123278257129184,28.905966789821946,42.633830146696354,10.169049727864282,-19.61184482450309,4.300466927648503,8.69907259518233,-24.17520162671586,-38.578420434768695
0.34,-13.071076248496134,-4.015731306415069,28.800317825314806,42.406314352176565,10.184744234049505,-19.574041273473977,4.209527117991716,8.574272615642206,-24.095362563137243,-38.44086814680469
0.36,-12.901949798643837,-3.907021334551135,28.693957216665012,42.177589204882125,10.200422159226937,-19.53588912249889,4.117396583868214,8.448817523318587,-24.01500051639873,-38.302337494895745
0.38,-12.732948631997422,-3.7978147201350922,28.58737204373527,41.94871768546332,10.21600427431459,-19.497549153353955,4.024644844873815,8.323297319299988,-23.934490815950387,-38.1634512510319
0.4,-12.564814128072587,-3.6887254691264686,28.481006586045964,41.72067957100348,10.231418167790348,-19.459179137837406,3.9317926061128787,8.198248413848264,-23.854171409766774,-38.02477635638957
0.42,-12.398212720625818,-3.5802947837582093,28.37523227667896,41.49434060586925,10.246590527828937,-19.42091024962994,3.8393158247817527,8.074137008113176,-23.774343676298027,-37.88682397127595
0.44,-12.233728163814236,-3.4730008561377606,28.270418162103322,41.270461647663886,10.261434414831303,-19.38286096270712,3.747632180089971,7.951383259472375,-23.695272156408436,-37.750058366721014
0.46,-12.071855476335955,-3.3672616219966764,28.166852902716588,41.04972813231216,10.27589441591861,-19.345144319842436,3.657106996586092,7.830364363416479,-23.617190442899823,-37.61487260520801
0.48,-11.913035019785807,-3.2634542429395585,28.064815000398315,40.83274071600245,10.289918837688575,-19.307863984442797,3.568046755409322,7.711398807892081,-23.54029848066017,-37.48160488926053
0.5,-11.757630195123122,-3.1618987344888922,27.964521218197785,40.61998393233332,10.30348121760946,-19.271098790262133,3.480712724765737,7.594755757984419,-23.464770314258562,-37.350532538130864
0.52,-11.605951834852293,-3.0628512565198918,27.866164478739904,40.41186952778895,10.316547574870647,-19.234894467263796,3.3953284606716307,7.480666351920446,-23.390761564795877,-37.22188921401914
0.54,-11.45823792368924,-2.966502039534471,27.769873380735962,40.20872886582316,10.329075578662405,-19.1993024806976,3.312071968690777,7.369303347356562,-23.318382561887564,-37.09585881757359
0.56,-11.314685216102248,-2.8730029069385026,27.675775851698557,40.01078927575638,10.341046310427455,-19.164378063945126,3.2311034685691493,7.260786949261218,-23.247708983464573,-36.97258670207409
0.58,-11.175409034336019,-2.7824817106413566,27.583941416180007,39.81822006823981,10.352452401441555,-19.130159386212753,3.152522287052538,7.1552137874543575,-23.17880694388381,-36.85219115669115
