time,uav1_true_pos_x,uav2_true_pos_x,uav3_true_pos_x,uav1_true_pos_y,uav2_true_pos_y,uav3_true_pos_y
0.0,-20.0,10.0,20.0,-20.0,-10.0,20.0
0.02,-19.992374773315333,9.979964923479761,19.992513319882896,-19.99247152007691,-9.979940886778882,19.992445552117335
0.04,-19.977191953289413,9.959911977104717,19.977589324896464,-19.97749692555465,-9.959821808186247,19.977412424600082
0.06,-19.954595005996804,9.939851905825972,19.955366916688497,-19.955220551098687,-9.939637010814844,19.955024706448324
0.08,-19.924766190484533,9.919787032364956,19.92602196230352,-19.925827739915924,-9.919402103593454,19.925472356251248
0.1,-19.887924383734866,9.899715407407188,19.889771855340644,-19.889549722832662,-9.899121006766702,19.8889781543951
0.12,-19.844321964426964,9.879632118625945,19.846873283940152,-19.84664432071947,-9.87879299786078,19.84578733078062
0.14,-19.79426667026992,9.859544418607964,19.79761415017433,-19.79739858439519,-9.858421644895673,19.796188019222075
0.16,-19.738070964680116,9.839447342466151,19.742297531855236,-19.742094827819603,-9.838023613723298,19.74048560803905
0.18,-19.67608246697156,9.81934974598203,19.681253053812203,-19.681059358163488,-9.817619178151757,19.679024747333358
0.2,-19.60866001555003,9.799252468454192,19.614808872688254,-19.61461581771803,-9.79720884215131,19.612139851193763
0.22,-19.53616217311441,9.779149392281825,19.543305868375775,-19.543108360922194,-9.776782727272794,19.540173516071658
0.24,-19.458944185271097,9.759034995430639,19.467088009172958,-19.466899685829226,-9.756349242965522,19.463481812340735
0.26,-19.377369087944274,9.73891828742929,19.386512831276146,-19.38634456248457,-9.735921893768866,19.38242865820552
0.28,-19.291800675972905,9.718800717502084,19.301926097367915,-19.301798074711677,-9.715495097256921,19.297368378326883
0.3,-19.20258833168844,9.698685907448823,19.213677859432533,-19.213607680312005,-9.695073408593004,19.20866078814851
0.32,-19.110076772967833,9.678599001755526,19.122117726092554,-19.12211806539358,-9.67466045828032,19.116656333486542
0.34,-19.01462241952848,9.65854537716093,19.02757791834848,-19.02766792904486,-9.654261949796314,19.0216917683664
0.36,-18.91656352533362,9.638529822737047,18.930384963241583,-18.930585037950845,-9.633888121749486,18.9241117812079
0.38,-18.816231450750024,9.6185643045721,18.830866583342786,-18.831187540570376,-9.61355127529403,18.824242000091353
0.4,-18.71393203479814,9.598651332368235,18.729313859883163,-18.729778744757045,-9.593266423211208,18.722399895723274
0.42,-18.60996796472809,9.578789559255984,18.626030043522103,-18.626636113675016,-9.573043096219859,18.618886856876582
0.44,-18.504620635303304,9.558984314292896,18.521315535770597,-18.52204235581162,-9.552896956800975,18.513998788075696
0.46,-18.3981791626959,9.539245166363397,18.415439345006003,-18.416259538387948,-9.532834853093249,18.408024365365083
0.48,-18.29090154404425,9.519575643520012,18.30866204996857,-18.30953277608826,-9.512858340026781,18.30121275779831
0.5,-18.18302885630936,9.49998553518786,18.201213316943218,-18.20210147323207,-9.492973126977736,18.19380840111201
0.52,-18.074789308564625,9.48048429707684,18.093321353927447,-18.094184088163527,-9.47317715139009,18.086044024301714
0.54,-17.966396475056026,9.4610963095463,17.985197557509412,-17.985984698397417,-9.453474560452305,17.978153620255366
0.56,-17.858042988323714,9.441827541150888,17.877048187131344,-17.8777114600137,-9.4338679357229,17.87035001791206
0.58,-17.749921893907953,9.422688327667746,17.769046429153644,-17.769553778509003,-9.414359345386337,17.762813492672727
0.6,-17.642210897550147,9.403674646327358,17.66134855181232,-17.66167136690793,-9.394969788967982,17.65570907606336
0.62,-17.53507307238549,9.384803515488347,17.554115849578185,-17.554215840258983,-9.375709189569074,17.549194638160387
0.64,-17.428653466831843,9.366064332652515,17.44748974973792,-17.447325437410825,-9.35658754984267,17.443409944490146
0.66,-17.32309303642891,9.347467709569152,17.341595317169123,-17.34112081916484,-9.33760648276047,17.33849045620606
0.68,-17.218508117450884,9.32901556349569,17.236552492915656,-17.235725034966112,-9.31876656274593,17.23454622615077
0.7000000000000001,-17.115000940668022,9.310716928138506,17.132465059180706,-17.13124419580378,-9.300084777938473,17.13168300688292
0.72,-17.01266698449185,9.29256879587927,17.029435235773015,-17.027764905476662,-9.281554301788601,17.02998695427849
0.74,-16.911605596522133,9.274567626694578,16.927538392768927,-16.925372122158162,-9.263190978288847,16.92955054650988
0.76,-16.811895314135327,9.256711001377358,16.826834504052044,-16.824137369479228,-9.24500029289296,16.830447247453687
0.78,-16.71358455518904,9.23900282648123,16.72738170292918,-16.724110317037706,-9.226987928821092,16.732739213024885
0.8,-16.616721246365444,9.221447935716295,16.629237632516215,-16.625357395324716,-9.209159510351366,16.63649422101153
0.8200000000000001,-16.52135078403148,9.204057793739256,16.532434570899323,-16.527928333332902,-9.191509239736781,16.54175609314902
0.84,-16.427504185078963,9.186839503160549,16.437017888614204,-16.431859759661474,-9.17403018191603,16.44856409403237
0.86,-16.335219979206872,9.169793415882976,16.343016479971656,-16.337186239125444,-9.156717670945739,16.35694880825332
0.88,-16.244518931360677,9.152921554956643,16.250451456650183,-16.243928268450855,-9.139561479998813,16.26693029759541
0.9,-16.155435671990933,9.136231226796536,16.159345837874234,-16.15210984738735,-9.122555813203771,16.178512291863573
0.92,-16.067969379454283,9.119716108114675,16.069706221459004,-16.061754539641992,-9.105698360840854,16.091713387040347
0.9400000000000001,-15.982118610064335,9.103365267863182,15.9815437163901,-15.97288073856506,-9.08899181841218,16.0065198558552
0.96,-15.897887681727923,9.087176781237691,15.894858757513,-15.885474505039372,-9.072444177155267,15.922943143604657
0.98,-15.815284955420942,9.071149524357697,15.809645103741046,-15.79953884496998,-9.05605174700397,15.840974276079352
1.0,-15.734300495002339,9.055282618783195,15.725892463577964,-15.715070772189865,-9.039805512890627,15.760613452958674
1.02,-15.654924973151493,9.03957816461319,15.643586529150964,-15.632063541823623,-9.023701525044583,15.68185742161006
1.04,-15.577156863745712,9.024033794835157,15.562711955279712,-15.550501889387242,-9.007737820844019,15.60470610261635
1.06,-15.500981482654971,9.008653745378231,15.483260715492047,-15.470364840024063,-8.991900184817128,15.529135579790177
1.08,-15.426385861741878,8.993436260680348,15.40522056729861,-15.391644796432852,-8.976196106570749,15.455128480473237
1.1,-15.353346029792922,8.978382105235548,15.328560419471659,-15.31431759932916,-8.960622583077619,15.382659231580986
1.12,-15.281840900039887,8.963483455237446,15.25327283452938,-15.238361264957872,-8.945170834012526,15.311717918467489
1.1400000000000001,-15.211839965882556,8.948738473479464,15.179341833824896,-15.163754504859236,-8.92984448793426,15.242272076360289
1.16,-15.143312614600429,8.934139892679921,15.106752539593426,-15.090480660034343,-8.914640743375545,15.17428611552479
1.18,-15.07622785831942,8.919683866388358,15.035468379284433,-15.018500553273553,-8.899566599811102,15.107724856169634
1.2,-15.010546657607977,8.90535804890326,14.965464041438267,-14.947784745144588,-8.8846156296314,15.042548137614512
1.22,-14.946237998642678,8.891150541035634,14.896701626336728,-14.878309298474402,-8.869792189619625,14.978734995600227
1.24,-14.883276042396346,8.877055416056836,14.82914752650897,-14.810044276307492,-8.855088787606327,14.916248433437147
1.26,-14.821625595031392,8.863067818569665,14.762775818401975,-14.742961132756674,-8.840502052323837,14.855045907773961
1.28,-14.761248466509866,8.849189123065367,14.6975532784848,-14.677038808576524,-8.826032530140152,14.795090789358456
1.3,-14.702095293440514,8.835415308475532,14.633444352578064,-14.612247282332518,-8.81168958933239,14.736350601683437
1.32,-14.644130382753055,8.821756054199865,14.570419607667136,-14.548560734846522,-8.79747860756518,14.678798648528868
1.34,-14.587326513606053,8.808213976799523,14.508437252185047,-14.485949553549595,-8.783383755486101,14.622397501027018
1.36,-14.53164259680597,8.794781872052637,14.44746340081638,-14.42437634464503,-8.769401985053953,14.567111171325173
1.3800000000000001,-14.47704234130011,8.781453597146134,14.387470540351545,-14.363811076296356,-8.755538815267636,14.512920764381606
1.4000000000000001,-14.423493173736837,8.76821363305381,14.32841676493999,-14.304225752523486,-8.741784291663377,14.45979943867993
1.42,-14.370971604669004,8.75506056232726,14.270273745729892,-14.24558491077354,-8.728131786946522,14.407721296599284
1.44,-14.31944667475612,8.741994874351308,14.213026752129855,-14.187843048601405,-8.714583866901334,14.356650934254466
1.46,-14.26889835758011,8.729016094757442,14.15664723527111,-14.130990661602121,-8.701153133136357,14.306549256589484
