time,rel_vel_1_2,rel_vel_1_3,rel_vel_1_4,rel_vel_1_5,rel_vel_2_3,rel_vel_2_4,rel_vel_2_5,rel_vel_3_4,rel_vel_3_5,rel_vel_4_5
0.0,1.5451455707905237,1.8332418143866707,0.6092672918461464,0.7793526442023438,0.6300061778836301,1.4395163934250232,1.3620128847258883,1.5099166998664648,1.3654699413479214,0.1890306227457159
0.02,1.914636817800257,2.8347383640547035,1.2081932756056695,1.5464622341473222,1.2506864324033402,1.4676348099760683,1.3180997358355961,1.8733548491940049,1.5198241761980924,0.375955389998664
0.04,2.4004332392961665,3.9689095228277202,1.7898716505915473,2.2923726761827656,1.8550939713250831,1.4978171239513145,1.2848091791173395,2.3685791957208386,1.8143464335949209,0.5578441822841866
0.06,2.9275240716078663,5.109912373576654,2.348350292758677,3.0096526243581128,2.4349067104949498,1.5280263334926025,1.2607857367334843,2.910325094341897,2.1777929293128477,0.7329546331269176
0.08,3.4582661717669096,6.2132013606570355,2.8783698886379407,3.689889763859558,2.983456607138695,1.5579668606126762,1.2441746851989715,3.4558299514497985,2.564995455716092,0.898678128819272
0.1,3.970684035224837,7.25877975373632,3.375583097201999,4.327072931147011,3.4997930008444826,1.5868921492543038,1.2359430885027654,3.9847420401819544,2.9527072941147874,1.052981102646157
0.12,4.45370300509501,8.233772553023513,3.8358573811997267,4.9185208505559,3.979311471985314,1.614265692130841,1.2352338931236913,4.485499299508335,3.3247404829028793,1.1971176155670638
0.14,4.901083133205029,9.129975321851576,4.257972210389431,5.459670525882418,4.418828139419503,1.6399915136847727,1.239656517008972,4.9493258184254225,3.6737300390614993,1.3282336119464515
0.16,5.309791084866242,9.944303396057942,4.63947333123793,5.950116969576144,4.817754725430459,1.6638063243119183,1.24892496104197,5.374050945759118,3.9948827443236925,1.4474228840643584
0.18,5.677281101760378,10.67433634036889,4.98109156730775,6.388511980527582,5.175189924394075,1.6846930805133273,1.2602262654513858,5.756052881922902,4.2858245990065305,1.5532210414536094
0.2,6.002942329051652,11.318137347784546,5.281765770412918,6.774260353573898,5.489586299922692,1.704244012197906,1.2716106886942629,6.094189455690558,4.544420237921282,1.6467319283698847
0.22,6.285539728530354,11.876047865911321,5.542994903071646,7.109143739272446,5.761969513518411,1.7204697149034107,1.2834437420331846,6.386889649312694,4.76870751267522,1.7278031308892572
0.24,6.526443217306121,12.349985872642096,5.764343002362193,7.394166026919161,5.993168473087987,1.7345836164918103,1.2942369812674464,6.636130293865661,4.959328504691828,1.7980736795579377
0.26,6.726153046045775,12.741904390370966,5.947095509245794,7.629884250540597,6.184028660940462,1.7451881764835115,1.3036012247158484,6.842443721267569,5.117352068454038,1.8560459878009314
0.28,6.8848376690608815,13.056212560645626,6.092667297958531,7.8191871864396605,6.338238063350468,1.751040367825,1.3112207947505234,7.008779852433766,5.244162947406307,1.9036315206456877
0.3,7.0063361586534825,13.297668952521402,6.203934076127458,7.9652807597572535,6.456983339549527,1.7540172697334364,1.3173428318477571,7.137017432063363,5.341149954399058,1.9411969618361
0.32,7.093316821438812,13.471143383048329,6.283251132190226,8.069919876516485,6.5423700862553185,1.7532541318551857,1.319530190963772,7.2294311393964055,5.411482854102624,1.96842998178463
0.34,7.147508208734172,13.581070217877695,6.331993130967249,8.136126493103992,6.5968139153167,1.749260975472524,1.3183131188665766,7.28919097970798,5.456484282406321,1.9871472243178327
0.36,7.170585246408462,13.633468451467667,6.352957451673828,8.16738784891672,6.625148015654617,1.7425952250568386,1.3155924988305658,7.3193872273104965,5.478736915626763,1.998131167873617
0.38,7.167838854564728,13.633437223282025,6.349041031319886,8.168296977778633,6.62681207505638,1.7329189014755455,1.3098500409432177,7.3220998006736835,5.47873226237301,2.002692319196229
0.4,7.1403545396035195,13.585010483602776,6.322429340539605,8.140149291511475,6.60487537962302,1.7218690725708719,1.3022997262084977,7.299416187587444,5.4590692765419755,2.000388986334999
0.42,7.089986163708095,13.493163678973515,6.275173956301863,8.086583841477191,6.562463183826783,1.710331955618767,1.2938691995257598,7.25436129091269,5.4211527817289005,1.9934485511053526
0.44,7.021052687334969,13.36465125667102,6.210948741579395,8.00971511455305,6.502111710152038,1.6970811845071236,1.282143171745053,7.189676132185204,5.36975155434347,1.9799856749766491
0.46,6.9362299157607765,13.20313921987835,6.131901621298795,7.913709612526602,6.424335899762142,1.682495000387926,1.2679704941860297,7.107077437279787,5.3042561447532375,1.9621298959275777
0.48,6.836865691919536,13.013725914124159,6.039653386375303,7.800581123178561,6.333380664166175,1.6667406256026471,1.2530223510406442,7.009839336840132,5.227759496115621,1.9396884973566832
0.5,6.72497796548793,12.800362473952912,5.93659065633502,7.674147054913362,6.230653779428126,1.6492050619702054,1.2378882124500246,6.899653605033089,5.140362386864583,1.9142852431524366
0.52,6.602804498059749,12.567745371711139,5.8239146440804745,7.535930676233224,6.119059123819314,1.6301069504929155,1.2215888512305537,6.779750767362765,5.045474671123073,1.886319363242575
0.54,6.471829450490306,12.320154513132426,5.704224813893853,7.3887752975751955,6.001199492243368,1.6092746960580357,1.204907733449684,6.6519134717660595,4.9445293641199015,1.8563725308027614
0.56,6.333901512594922,12.061182831543867,5.579356570732015,7.235135967438653,5.879130789354675,1.5883300964192273,1.1887908991268308,6.518002158975933,4.838710819289339,1.8255494210330314
0.58,6.192239462519556,11.79392663057946,5.451681298244843,7.076614791383387,5.752727849278375,1.566998287755748,1.1722010123469095,6.378614137402186,4.72947150744776,1.7926142844300155
0.6,6.049989111903665,11.522640836645651,5.320765051978854,6.91600115750935,5.622847748067089,1.545651374581443,1.1540483309914127,6.238313987500687,4.618322148266403,1.760368896360876
0.62,5.904802956817442,11.24863343954789,5.188466872843396,6.754074131294802,5.493175068336155,1.5239130461118047,1.1367646875733823,6.096774992690722,4.505824003967906,1.7286584178886117
0.64,5.760491619971749,10.975900025116317,5.056919633697296,6.593113559683561,5.363922968387974,1.501522622991816,1.1200521265438848,5.955640372809282,4.393568706098618,1.6965014749838365
0.66,5.617708859199377,10.706210429317517,4.92711313394336,6.433671079962681,5.236218201992257,1.478700514989927,1.1034082270130416,5.815728993961357,4.282845277540382,1.6639314889254724
0.68,5.476901789623823,10.440971627724625,4.799358264502525,6.27643194327552,5.111023843128623,1.4566372735329174,1.0877040747991138,5.67832080060979,4.17428558460385,1.631472298717785
0.7000000000000001,5.340757400177304,10.182569367598159,4.674659944753051,6.123553840857078,4.9880076654348615,1.4355993179114126,1.0716226379147804,5.544707433564293,4.068240546675473,1.6004487878875027
0.72,5.20948024483609,9.930987532178166,4.554172965908248,5.975474282779476,4.866978982697402,1.4149244753977233,1.054685490350065,5.413657186539201,3.9643535285517757,1.5704533135054195
0.74,5.08378080038119,9.688781907372949,4.43815108709215,5.83161312019253,4.750249221394623,1.3959909836733335,1.0368761214285045,5.287452004419398,3.8657651906024713,1.540745735511731
0.76,4.96348751769986,9.456197327091395,4.327298020506749,5.693188466912192,4.638145455480434,1.3790792949248534,1.0201222561881622,5.165795471555471,3.771365536279051,1.5116714789719703
0.78,4.84748999454215,9.23334804872919,4.221265731283541,5.560818943073681,4.5314015180914335,1.3618749864377298,1.0045473995082963,5.04900020024147,3.680673279333485,1.4837980663864334
0.8,4.7373311967081415,9.02099152318782,4.120438204999018,5.435330609259555,4.429454473886162,1.3461740371244941,0.9896897755446499,4.937573754861918,3.593668968884237,1.4581273065118097
0.8200000000000001,4.633790484084436,8.81971391109269,4.02579143040595,5.316714331056577,4.331943983147207,1.3309855353696718,0.9754804818834181,4.8310195683512385,3.510830412607094,1.4329617023264742
0.84,4.53643330225345,8.629611971486032,3.9368404114510542,5.204968854700796,4.239371126021524,1.3163315898225545,0.9613683864592234,4.7299276899069085,3.4323642687865963,1.4092472980483899
0.86,4.443480576664097,8.44922236728004,3.852030509095149,5.099467775508148,4.1522425837440595,1.3019816196634706,0.9491981150655975,4.634291286573962,3.357360247060786,1.3872281252159677
0.88,4.3562038082695205,8.278561644690312,3.7714004829943417,5.000728261059745,4.068948045211578,1.288255709462467,0.9376605498674687,4.544204122122292,3.2853116437912804,1.3676287592123357
0.9,4.274304047947667,8.118136925574142,3.69632478986157,4.907814217181353,3.990289736023998,1.2738793676412656,0.9261565576138236,4.458670659714845,3.2176784717117837,1.3480882390526432
0.92,4.198339358596244,7.9681264671648755,3.627748191583989,4.821555132108217,3.915788772871942,1.2594568669647583,0.9150456722946337,4.3771102047151125,3.1537648370358444,1.3288049070752774
0.9400000000000001,4.1268806073111675,7.827018794487142,3.5629144113075637,4.739661784884091,3.8458823177348562,1.246973908065502,0.9043390934902242,4.300845881548272,3.0944010736223544,1.310622807966838
0.96,4.06039436344343,7.694779925314398,3.50196341475519,4.66319469401167,3.7796302796151124,1.2349404204879562,0.8937113670976559,4.229570150766724,3.0384739563929086,1.293941634066448
0.98,3.998228345744649,7.570022416419009,3.444679655292886,4.590414793627623,3.7166217290758947,1.2235616341559612,0.8828572319091803,4.1620599163775065,2.986352440680063,1.2773011488827162
1.0,3.9399388128124704,7.453661365540127,3.3921426889323945,4.522900072692071,3.6579471031752044,1.2115970048938036,0.8726258565461468,4.0981275051308055,2.9373926177836864,1.2611934317995985
1.02,3.8851744188540707,7.344435731548032,3.34226060635334,4.459856960769742,3.6032332455167184,1.200352570922073,0.8638836826434113,4.038502722809426,2.8911122777560974,1.2464617458581573
1.04,3.833874256767315,7.242196014098913,3.2948210159266114,4.401162458782334,3.5516982896487828,1.1892261637373638,0.8549635355196288,3.983419075992025,2.8475060400266106,1.2337224346559215
1.06,3.7852331380137456,7.145524181339788,3.2501400563904226,4.344890242552679,3.5031685859741533,1.1794443992229908,0.8468203319614976,3.9313169410303717,2.806969241902908,1.2208629033301854
1.08,3.73903952362389,7.0538608781759695,3.208721859225087,4.292136075342153,3.457389205646772,1.1698600332514524,0.8402990261466752,3.88092085280287,2.767885920861922,1.2080358535451567
1.1,3.696035599035191,6.967360029730448,3.1694037313563013,4.243427643175783,3.4132850187976462,1.1605164243030006,0.8337755864296065,3.833605223978684,2.7299377877049507,1.1971774610498838
1.12,3.655335217861902,6.886537454982605,3.1319790572222397,4.196278413433652,3.3728090983572994,1.1519770378511947,0.8273861846187885,3.790018675541403,2.6961084985091217,1.185957170937375
1.1400000000000001,3.6163963442149027,6.808918251756146,3.0971501032727216,4.152043194255859,3.333621245464179,1.1433147767807614,0.821762937687201,3.747109404602939,2.6625516223166352,1.175164207611379
1.16,3.5798900210728344,6.73617670799119,3.063100002435251,4.1106008368825355,3.296790808121993,1.1350544264060745,0.8162771944455568,3.7082105745402707,2.6310898414673107,1.1661017059212244
1.18,3.545137281077222,6.667036987520396,3.0307792670180382,4.070841755929788,3.261788035144539,1.1267597886182104,0.8106099423353883,3.671131552562869,2.6015691583702685,1.1570208894318603
1.2,3.5117265495366614,6.600614602127593,2.998914141399594,4.032224874865031,3.2286231747784075,1.1192505241405035,0.8054261700992593,3.636162493799774,2.5736697526502845,1.148444113559953
1.22,3.4797911676905375,6.537899907340861,2.968207547098564,3.995577091337272,3.1975708455070735,1.113428530765251,0.8006016025049124,3.604075868273482,2.5474934586234386,1.1414190554529116
1.24,3.448669361002135,6.477579719498209,2.939206830181943,3.9610107092576388,3.1680647758407114,1.1087612243223042,0.797174243214427,3.572988309400685,2.5215772929961835,1.135283952031528
1.26,3.41834919419369,6.419494687163116,2.9115426224463437,3.9274057483881823,3.1397912192089725,1.1043317205527672,0.7935055519356826,3.5429596889457815,2.4969375989136444,1.1292266765536623
1.28,3.3888813436427183,6.363306429358988,2.8846582359980784,3.8946067478637802,3.1125134415807714,1.0988988942013442,0.7892691510750948,3.5138202605661846,2.4734441223595196,1.1229140750006192
1.3,3.3599532697607892,6.308093309362598,2.8577799501884003,3.861787805828007,3.085832665969888,1.0934545461928704,0.7850632847973278,3.485515472716846,2.4509370363264873,1.11622053497673
1.32,3.3305532879607456,6.253862669667066,2.8305590243885037,3.828924743083003,3.0609194991341027,1.0880091306034878,0.7812911496977848,3.458397072986298,2.4295179747524744,1.1097726642605887
1.34,3.302536684352013,6.200909549336334,2.8040111532199044,3.797286052316053,3.03630425855343,1.0832320100293975,0.7781332758277639,3.431769475732809,2.408164205302811,1.1036314234976035
1.36,3.275917033517026,6.149081784522174,2.779184220733925,3.7655489629245706,3.01127151449592,1.0776011972281077,0.7733275049097046,3.404434649024979,2.388065001258093,1.0957208322133714
1.3800000000000001,3.2491453987180288,6.098093742575516,2.755331732811161,3.7339006244516724,2.987070820133444,1.0712881443245883,0.768340493526083,3.376976487708394,2.3687237042221425,1.0870713281742967
1.4000000000000001,3.2230669283971363,6.048666989053727,2.732740241860612,3.7029865589876536,2.9641167297968636,1.0648290747050508,0.7637136547127771,3.3496508899748543,2.3502622195654994,1.0778060614856566
1.42,3.197611558108059,6.000262583761324,2.7107321923142087,3.6730539849724493,2.941741342312002,1.0586384441513006,0.7587852783181662,3.3227302540036336,2.331947549918853,1.069319799395632
1.44,3.171454983557916,5.952236353056262,2.6882705000558538,3.644052842690698,2.9198742970558995,1.053082614160878,0.7543735583412653,3.2970472359153105,2.313029192107649,1.062840030723329
1.46,3.1448201749601683,5.9047980481357145,2.664756834464046,3.614678298544952,2.8988853874724154,1.0481722244019187,0.7495053997016047,3.2731699006474657,2.2950952235893154,1.0574882760503883
1.48,3.1180952625692595,5.856014781766269,2.640641970496737,3.585610577476559,2.8764249708716387,1.0431713827338378,0.7453606509947599,3.2485994522040347,2.27540384412476,1.0525848192559377
1.5,3.0926238786659606,5.8086561611451595,2.6162047861704645,3.5571110048458485,2.8541100402411717,1.0393478047942002,0.7411396758865009,3.2258863156225077,2.256518086060418,1.0485516029778161
1.52,3.0663021355192517,5.760101473752222,2.592198769503492,3.528356126477073,2.8317327860901544,1.035213920723258,0.7367483383725935,3.201494905449076,2.236824582144026,1.0443320868006185
1.54,3.039461503437848,5.7113981280875015,2.568645137567912,3.499841879675006,2.8098166855769953,1.0308056658656692,0.7335538406241476,3.1764976191872396,2.216687250285772,1.039654523246363
1.56,3.0125510217993017,5.663222300984357,2.54480308861204,3.471999404334498,2.788719850446766,1.0260289646598957,0.7317043770153582,3.1521123915205673,2.1963633259461495,1.0351817805634245
1.58,2.9853257479776234,5.613730029620353,2.520930068099893,3.4434553896706905,2.766883023596727,1.0202346284829404,0.7287701475511488,3.1261484510714665,2.175579400300492,1.030039423312769
1.6,2.959692481380574,5.566167044147974,2.497622096797229,3.416760108192691,2.745723771628532,1.0144551943644695,0.7263651080752225,3.1012839282326907,2.1549251202761974,1.0256459090636434
1.62,2.934156295433093,5.51995333306578,2.4763435413835664,3.3904934638947277,2.7254954880163185,1.0075631603239028,0.7242199897015202,3.0757829989244962,2.135119384845279,1.019596426368499
1.6400000000000001,2.9091040348728,5.4733526105102595,2.4536139277459275,3.363227279325785,2.7043014359473223,1.0011578254262035,0.720803573258043,3.0513325747028297,2.115925985313016,1.0139060835623575
1.6600000000000001,2.8822098714117557,5.425788729372031,2.430523777247006,3.3343710312231534,2.6842164827993185,0.9939468409584156,0.7179818105033463,3.0261608196207543,2.097363859598543,1.0067961995947947
1.68,2.8555653081720007,5.378556163597302,2.4075493855545265,3.306301944962488,2.6644541736216194,0.986770145720889,0.7154477537686512,3.0011043942717044,2.0784246793564884,1.0003400326230873
1.7,2.829705740503938,5.332803009723131,2.383932592789467,3.2785682581051776,2.645070843340057,0.9802875125735351,0.712439890759061,2.9783105400779326,2.0605764952378713,0.9949144146481623
1.72,2.8050083763525535,5.286993213536811,2.360853220477787,3.251606399618341,2.6244553221726297,0.9747780697010849,0.7102257091371665,2.9550914585513848,2.0417434816366744,0.9895191228543931
1.74,2.7803244196022474,5.241300364374687,2.337380068843184,3.2244350339142205,2.6038174748513137,0.9696239853833617,0.707829189947411,2.9324785283932155,2.0232055961578244,0.9844141461279159
1.76,2.755472990047483,5.196034168520548,2.313924484727812,3.196648409665899,2.5836869937368334,0.9645200734096657,0.7049738602955855,2.9103333054029275,2.0057066417071656,0.978873857688205
1.78,2.730007022334584,5.150046787162176,2.290759332282843,3.169293576448851,2.5632663779201352,0.9584860585173807,0.702509997374129,2.8871394324909274,1.9870549775102542,0.9733609827409611
1.8,2.7051071627024017,5.103359598883506,2.267917719302104,3.1418532756968687,2.5416756497887794,0.9534190494286989,0.6992138400403997,2.8630866478402948,1.967858151461886,0.9681096958417896
1.82,2.6800161594943424,5.056561302439931,2.2444068908176282,3.1138102372955654,2.5201700936242095,0.9487738992409266,0.6948503796022377,2.839646554185027,1.9492636099930893,0.9634375321983545
1.84,2.656338483771908,5.010599615069832,2.2211500773557664,3.086852184159868,2.4977990324349166,0.9448182461328004,0.6899171182665872,2.8169367882465695,1.9303947974632014,0.9597925386921867
1.86,2.6329712551472673,4.965626044689754,2.1990326748323743,3.0597185768004413,2.475948829025444,0.9407444022547901,0.6845908188480319,2.794168157886627,1.9126595078964659,0.9550719923737649
1.8800000000000001,2.6089159368825414,4.920268321470707,2.1756148182784716,3.032285998741515,2.454055678060509,0.9354828155610038,0.6789309390025587,2.772144957843265,1.8948370823989162,0.9508320852869799
1.9000000000000001,2.585802243097034,4.876972768355069,2.152447880031669,3.0047184665891487,2.433453763792801,0.9311462406921394,0.6730591973252148,2.7519762239107934,1.8791836473274133,0.9462793903103914
1.92,2.5636220023402507,4.834492828899015,2.130501442320845,2.977391185315571,2.41272968682128,0.9276858122669003,0.6671017456885646,2.7316098147399206,1.864043991311371,0.9411335777566877
1.94,2.541791418660095,4.793114859845002,2.109772143561665,2.9505121029135952,2.3922628895894364,0.9243686234368736,0.6604237024350937,2.711414920070751,1.8495474393278568,0.9359524283280239
1.96,2.520543261768313,4.75244035710538,2.0912994200236317,2.9238151854586754,2.372317315359048,0.921022497485383,0.6541556131241199,2.689651124300204,1.8355800621465619,0.9288753091339306
1.98,2.500804552550294,4.713367600579682,2.073974840473536,2.898476165908986,2.3520991050449545,0.9167598756351616,0.6473717522216236,2.6682163201012536,1.82182354390664,0.9216040051717869
2.0,2.481006793841708,4.67477842991209,2.0558112812161844,2.8736735791804398,2.3325170404713176,0.9125245225239782,0.6417274646515453,2.64799788474063,1.807936298014048,0.9150700022395426
2.02,2.4610229558383305,4.636360149659602,2.038061304094447,2.848867761756521,2.3132635159414576,0.9088051771441104,0.6359995805375653,2.627726495757393,1.7942502008646777,0.9086983008983809
2.04,2.4406227529500972,4.598154589047615,2.02146376126236,2.824606127033881,2.2944747815994444,0.9040944775499421,0.6304038617237901,2.6064998921143547,1.780274420198179,0.9018794257583457
