time,rel_vel_1_2,rel_vel_1_3,rel_vel_1_4,rel_vel_2_3,rel_vel_2_4,rel_vel_3_4
0.0,1.4860895860356595,1.7176157497652762,0.481182189236416,0.5850894272315906,1.4253775787618286,1.4870483930254996
0.02,1.7217536241053641,2.5145902574384436,0.957613196650688,1.1626646137414878,1.4386046999304112,1.7902842037786353
0.04,2.0589467586355914,3.4578177346323056,1.4241112033968315,1.7257333886599258,1.4535632130320641,2.218754980878215
0.06,2.443970618100842,4.427921303499754,1.8767113807612443,2.2704872010679877,1.4693311802459583,2.6989582556470877
0.08,2.8453475173149845,5.382647515114966,2.310648101587663,2.792397006446582,1.4847313628668377,3.1933949817510965
0.1,3.245858952466813,6.301889241488237,2.7228060474527913,3.287765284420119,1.500252592437037,3.6815632871530215
0.12,3.6347626034311205,7.1749707919011545,3.111391222982476,3.7546562279203877,1.5160228392588933,4.152138552830523
0.14,4.005510331657572,7.995048001400306,3.475496134433921,4.190861126515256,1.5304724873830418,4.597372597676096
0.16,4.354848954572287,8.758511581651213,3.8135031392554857,4.594871554205317,1.5446523646748571,5.014520885004743
0.18,4.6777422774625865,9.461702528150983,4.12391617240247,4.966950459228649,1.5570679399838614,5.400758662469823
0.2,4.973285901072019,10.102394943643057,4.406597954686606,5.305760120544088,1.568815338130726,5.753539742035229
0.22,5.240565394006339,10.67978920686818,4.661522405809395,5.610882818342662,1.578617547770671,6.071608198064015
0.24,5.479113792613262,11.196160996655314,4.8886167532286375,5.884158684966868,1.5861154648610492,6.3573450159488925
0.26,5.690453432075751,11.65117083973117,5.089514638721399,6.123933302641809,1.5925547645046905,6.608660131703279
0.28,5.87440799353649,12.046085103956726,5.263878707567006,6.331666277612378,1.5984138621265487,6.827014909736761
0.3,6.031476782361889,12.382734003422911,5.411521587472038,6.508482248632439,1.6036138454409468,7.014307580070493
0.32,6.163195292147319,12.66401671675299,5.535209111496518,6.655660539312746,1.6073345242504302,7.170514102667741
0.34,6.270476364292341,12.892676134277915,5.636800190836311,6.774722344473209,1.6088787843628167,7.296514941209293
0.36,6.354175116260839,13.07136170464911,5.716751729570477,6.867883051792329,1.6091490969795228,7.3943617910212955
0.38,6.414554083891616,13.202933982889265,5.775060802962246,6.93728113358255,1.607357654490482,7.466936965978214
0.4,6.455297490148833,13.290367280098664,5.8141176658747495,6.982364440012463,1.6035831548632489,7.514636691153527
0.42,6.476527360240749,13.33664017286798,5.835253873939792,7.005726295578602,1.5973583471190786,7.539191955615073
0.44,6.481274550898549,13.346537637485225,5.839829880722018,7.009268503805775,1.5898546715267863,7.543997363421189
0.46,6.47060145708068,13.321896591089647,5.829848889120165,6.993642053366377,1.5807043771414506,7.528917274689997
0.48,6.445757623986459,13.266852803344282,5.806735041945709,6.961817619742424,1.5707334407959916,7.4967268614205125
0.5,6.408249613099509,13.184555122187728,5.772186547115707,6.915612275929665,1.5589988584863337,7.4486310437832435
0.52,6.358362363546645,13.077907498426578,5.727346558110194,6.857634510614146,1.545973801742828,7.3864972979265655
0.54,6.2981559330022225,12.948204267582774,5.6722822994919575,6.786975418377438,1.532019701580238,7.3115480544508165
0.56,6.229101645987024,12.800094021266808,5.610073784682436,6.706349428153648,1.5162881547599245,7.225494590204509
0.58,6.152385400770791,12.635646139833407,5.540270832894155,6.617204780629054,1.499504611390549,7.130594086457684
0.6,6.069542004643572,12.457903663078952,5.464054870872481,6.521150693412343,1.4832031541320634,7.028856751882822
0.62,5.980876042078482,12.268265203719515,5.382979591447152,6.419081527103508,1.4661337444187887,6.920088902507022
0.64,5.887422188268646,12.069076499610293,5.297204937049134,6.312421036277037,1.4498083630720915,6.806594853199499
0.66,5.789814783759601,11.861833952415822,5.207534558852382,6.2021387022972885,1.4344351411127823,6.689052408332818
0.68,5.690447134500791,11.64989004832136,5.115763220014642,6.089251145200528,1.4197999684386091,6.56889811807458
0.7000000000000001,5.5890843722603005,11.43349649042062,5.0214385386917515,5.973901268310209,1.4046280348518205,6.446782277496234
0.72,5.485885697488439,11.214347058080293,4.925966868378685,5.857476861784594,1.388957993464242,6.323129573941488
0.74,5.381373612362592,10.994403325857089,4.829068757868105,5.741733106445687,1.373502317027511,6.200085297195588
0.76,5.277136125847917,10.7736412913253,4.7314062476536325,5.624900320928434,1.3581578499785507,6.076963313988582
0.78,5.173658367949992,10.555369203162526,4.635244768999676,5.509524906724381,1.342055806857361,5.9548723789379805
0.8,5.071526589914031,10.339408578012781,4.5406069239814455,5.394997591415469,1.3254278123220997,5.83353951943654
0.8200000000000001,4.969913948876217,10.125679592539443,4.447147278444189,5.2821134403204155,1.30896358259671,5.7133569140928415
0.84,4.870737771421538,9.916664984960716,4.355957590617514,5.171518345751322,1.2927034929312973,5.595607724235938
0.86,4.7732820223412284,9.711223417060664,4.264945294194427,5.063012712746746,1.2773947092662086,5.481191048080217
0.88,4.677552338053697,9.510112931557554,4.175485026629377,4.95742050175178,1.2625479868815612,5.369449298572905
0.9,4.583076818826125,9.313318294051248,4.087507271777744,4.85497474980026,1.2480571661140456,5.260553595150992
0.92,4.492357321228794,9.124228196481075,4.0031752082204894,4.75657265016636,1.2341417068979672,5.1557043754630785
0.9400000000000001,4.404267923920251,8.940809132826256,3.9208482642926743,4.661325721977482,1.2207076598826527,5.054471333480094
0.96,4.319122518675479,8.763046085078456,3.840738077951802,4.568853713518995,1.2078467993482633,4.956661390769356
0.98,4.236879477616548,8.591721039881012,3.764249763661738,4.47997764199335,1.1944086475963003,4.861525552613481
1.0,4.157621442372921,8.426687127533201,3.6898668276695874,4.394358298897182,1.181401464768011,4.770567132718522
1.02,4.080952997718308,8.267179988130373,3.617912560256862,4.3118588247189,1.1696441724868645,4.682795634126582
1.04,4.007208368891338,8.11338046540918,3.548751163679222,4.23211782009711,1.1580118445285863,4.59791585188871
1.06,3.936596983856077,7.9657661456097175,3.4822656507369336,4.155331073344112,1.1466704423262306,4.516558322007827
1.08,3.868311779654644,7.823916063712442,3.419034115849871,4.081855619780066,1.1352102978672076,4.437755338402041
1.1,3.802686764071892,7.687888166414349,3.358689014240157,4.011383167044078,1.1239260445487782,4.361952826973597
1.12,3.7397386989073613,7.557729132528177,3.300169521447624,3.9442441371007724,1.1133258852973258,4.290143243658029
1.1400000000000001,3.6792265722674395,7.432800327769336,3.2437502840684527,3.8802355411971123,1.1041190432235837,4.221502526809727
1.16,3.621773145444001,7.314234840902727,3.190531956858507,3.8195787486907022,1.095637721038453,4.156086555256803
1.18,3.5663578789005905,7.200434894545911,3.1388993277356088,3.761504312706806,1.0877468600043363,4.093956317594039
1.2,3.5128960606053483,7.091244455913457,3.0887136400190416,3.706251807470514,1.0806017177624423,4.034981056554096
1.22,3.460983251205467,6.986010830312707,3.039931727976105,3.6532386260394967,1.072389615232792,3.978377737413211
1.24,3.41223298531559,6.884919432604822,2.9930975780303055,3.6015267882798754,1.0648965054193904,3.9238347638957487
1.26,3.3660280892328753,6.7884840967335265,2.9485534447177444,3.551752103136927,1.0574452422594312,3.8716741969728994
1.28,3.321154120021805,6.695455042570819,2.905650006947375,3.5041574611969337,1.0501452978919854,3.8212483857494113
1.3,3.2779869400971724,6.605900158181884,2.864432287946585,3.4580138314318485,1.0431054596061173,3.772763925486967
1.32,3.2358660530579377,6.518325289857196,2.824634460598299,3.412910437434769,1.0354388742095288,3.7246719738039937
1.34,3.1945839556567743,6.434472001127536,2.786468369948654,3.3708613748101257,1.027989166366522,3.6786524394601328
1.36,3.1549832140653726,6.354610585085047,2.7503182373020922,3.331333735926807,1.0211810013017757,3.6346222495323808
1.3800000000000001,3.1178649083740146,6.278389997466447,2.7158492873809004,3.292670524582809,1.0142143020057195,3.592546047807239
1.4000000000000001,3.0813913511864217,6.204016604663643,2.6822767058160424,3.2554272746333863,1.0082896315492185,3.5515365919754363
1.42,3.0475625082701363,6.132621649972918,2.651648906073882,3.218396746381856,1.0020337412465956,3.510524677194156
