time,rel_vel_1_2,rel_vel_1_3,rel_vel_2_3
0.0,1.4907914475376367,1.0721894227139304,1.416219219408302
0.02,1.7234023729680088,2.059581386027914,1.6270578148017412
0.04,2.0207897595660262,2.978313512064671,1.9210228641981602
0.06,2.3410415161702463,3.8350183350126508,2.241831053169761
0.08,2.664526839083171,4.633807599839789,2.565419600699867
0.1,2.9814298791083047,5.377962062177115,2.8809165953252345
0.12,3.2865732574855637,6.070380329028784,3.1831338004841023
0.14,3.5771620913970046,6.713720484873371,3.4695640358045217
0.16,3.8517175810710604,7.310459794179888,3.7390727555813186
0.18,4.109532869293251,7.862928867232326,3.9912755770590294
0.2,4.350376553512985,8.373335279568876,4.226219079256221
0.22,4.574321765536586,8.843781179933499,4.444206478762447
0.24,4.781642631633138,9.276276628797461,4.645697131965791
0.26,4.972748662371371,9.672749582782382,4.831245772323768
0.28,5.148141380152496,10.035053158763896,5.001464186326682
0.3,5.308384459023583,10.364970701602942,5.156996129316392
0.32,5.4540823606187265,10.664219128838582,5.298500384360401
0.34,5.585864512223259,10.934450991584333,5.426639034194515
0.36,5.7043732581138045,11.177255654013079,5.542069202426864
0.38,5.810254510220097,11.394159946359968,5.6454371897686295
0.4,5.904150433502463,11.586628587645583,5.737374319304726
0.42,5.986693739958635,11.756064608031831,5.818494035605213
0.44,6.0585033008024265,11.903809932604599,5.88938994320034
0.46,6.12018086110124,12.031146224286275,5.950634558292683
0.48,6.172308681535991,12.139296028208797,6.002778605084456
0.5,6.215447954557599,12.229424216110575,6.046350727208891
0.52,6.250137857027093,12.30263969815867,6.081857512709881
0.54,6.276895113934916,12.359997350451286,6.109783752009679
0.56,6.296213960556291,12.402500097633187,6.130592864756751
0.58,6.308566404167592,12.431101089286356,6.1447274447373115
0.6,6.314402700992895,12.446705913634311,6.152609882960949
0.62,6.314151978716449,12.450174800404955,6.154643038067408
0.64,6.308222948960317,12.44232477459644,6.151210930653443
0.66,6.29700466698233,12.42393173299981,6.142679444207725
0.68,6.280867307093916,12.395732424713797,6.12939702025029
0.7000000000000001,6.260162931734813,12.358426324990328,6.111695339163318
0.72,6.2352262397542235,12.312677398328164,6.089889981222923
0.74,6.206375285348238,12.259115751759628,6.064281064636818
0.76,6.1739121634861185,12.198339182866063,6.035153859088281
0.78,6.1381236607582155,12.130914629405659,6.002779374497719
0.8,6.099281872639952,12.057379528768584,5.967414925539887
0.8200000000000001,6.057644789419792,11.978243096016353,5.929304672983712
0.84,6.01345685368941,11.89398752922344,5.888680143225252
0.86,5.96694949251422,11.805069150398545,5.845760727521585
0.88,5.918341627331853,11.711919489567908,5.800754162452773
0.9,5.867840164374186,11.61494631876806,5.7538569930777195
0.92,5.815640468056506,11.514534641806854,5.705255020137329
0.9400000000000001,5.761926819383977,11.411047644770449,5.655123732516862
0.96,5.706872861031311,11.304827611421475,5.6036287260249225
0.98,5.650642030381606,11.196196806875198,5.55092610939103
1.0,5.593387981480496,11.085458332269441,5.497162898234852
1.02,5.535254996578761,10.972896952565215,5.442477397623352
1.04,5.476378387702628,10.858779899127104,5.386999573710126
1.06,5.4168848885042875,10.743357648330273,5.3308514148455854
1.08,5.356893036501924,10.626864677116924,5.274147282457549
1.1,5.296513545713683,10.509520196170458,5.216994251928824
1.12,5.235849669618153,10.391528861181184,5.159492443640279
1.1400000000000001,5.17499755432944,10.273081462534362,5.101735344303485
1.16,5.114046581852827,10.15435559365104,5.0438101186745214
1.18,5.053079703282431,10.03551629814693,4.985797911718618
1.2,4.992173761811237,9.916716695937623,4.927774141282065
1.22,4.931399805442713,9.79809858840355,4.869808781322062
1.24,4.87082338931905,9.67979304273043,4.81196663574526
1.26,4.810504867611371,9.561920955555776,4.754307602910584
1.28,4.7504996749500625,9.444593596075897,4.69688693086029
1.3,4.690858597407183,9.327913128797956,4.639755463354188
1.32,4.631628033076429,9.211973116154956,4.582959876794694
1.34,4.572850242328499,9.096859001236972,4.526542908144201
1.36,4.514563587850284,8.98264857092721,4.470543573950438
1.3800000000000001,4.456802764604596,8.869412399765979,4.414997380609847
1.4000000000000001,4.39959901987289,8.7572142748982,4.35993652601278
1.42,4.342980363566482,8.646111602490215,4.305390092727559
1.44,4.286971769012045,8.53615579602896,4.251384232892701
1.46,4.231595364434649,8.427392646940646,4.197942344997808
1.48,4.176870615376504,8.319862677987041,4.145085242743684
1.5,4.122814498301863,8.213601479915038,4.092831316181004
1.52,4.069441665648427,8.108640031849607,4.041196685334448
1.54,4.016764602593251,8.005005005931494,3.990195346525409
1.56,3.9647937758067964,7.9027190567093495,3.939839311611509
1.58,3.9135377744724527,7.801801095801479,3.890138740364907
1.6,3.8630034438508782,7.702266552345357,3.8411020662141517
1.62,3.813196011669017,7.604127619753583,3.792736115575928
1.6400000000000001,3.7641192076127683,7.507393489293305,3.7450462210036792
1.6600000000000001,3.715775376200209,7.412070571002628,3.6980363283798097
1.68,3.668165583309152,7.318162702452098,3.6517090983770286
1.7,3.621289716628809,7.225671345852552,3.6060660024124926
1.72,3.5751465803004767,7.134595774002353,3.5611074133158462
1.74,3.5297339840067266,7.0449332455575995,3.5168326909290393
1.76,3.485048826762517,6.956679170098525,3.4732402628520846
1.78,3.4410871756551735,6.869827263453974,3.4303277005447392
1.8,3.397844339773329,6.784369693733957,3.3880917909894777
1.82,3.3553149395577546,6.700297218507636,3.3465286041161995
1.84,3.31349297179969,6.617599313551211,3.3056335561839005
1.86,3.2723718705047116,6.536264293576799,3.265401469309099
1.8800000000000001,3.231944563832647,6.456279425339848,3.2258266273251692
